discipline,AI_RS
Architectural Engineering,0.108269724
Optometry,0.179036367
"Agricultural Business and Management, General",0.190555983
Environmental Studies,0.061000213
Art,0.065070662
Journalism,0.03806386
Mining and Mineral Engineering,0.122951456
Environmental Health,0.216111013
Human Nutrition,0.025520148
Latin American Studies,0.052082521
Insurance Law,0.021441375
Interior Design,0.007926726
Entomology,0.231902421
Pharmacy,0.020868132
Music,0.100612719
Regulatory Science/Affairs,0.102273851
Structural Engineering,0.541537095
Fashion Merchandising,0.00280522
Spanish Language and Literature,0.060842138
Manufacturing Engineering,0.13987953
Manufacturing Engineering Technology/Technician,0.074137052
Archeology,0.417896023
Human Resources Development,0.062687863
Metallurgical Engineering,0.366350325
Geological/Geophysical Engineering,0.504783413
Exercise Science and Kinesiology,0.016182637
Cinematography and Film/Video Production,1.503406425
Geotechnical and Geoenvironmental Engineering,1.164702943
Broadcast Journalism,0.009679161
Social Work,0.012043211
French Language and Literature,0.192053789
Nursing Science,0.020615272
"Criminal Justice and Corrections, General",0.008506604
Clinical Psychology,0.154895148
Architecture,0.090371273
English as a Second Language,0.516533492
Public Administration,0.081364986
Construction Engineering,0.030762153
Real Estate,0.021359152
Organizational Leadership,0.085781145
Accounting,0.028228265
"Special Education and Teaching, General",0.028243275
Child Development,0.011797065
Elementary Education and Teaching,0.014373246
Food Science,0.033357573
Physician Assistant,0.00881196
Outdoor Education,0.128148988
Environmental Biology,0.071865031
Automotive Engineering Technology/Technician,0.163572747
Interior Architecture,0.024938502
Counseling Psychology,0.095734167
Radio and Television Broadcasting Technology/Technician,2.255109638
Construction Project Management,0.054001668
Early Childhood Education and Teaching,0.015931194
Landscape Architecture,0.164490532
Dentistry,0.039703487
Forensic Psychology,0.028817047
Directing and Theatrical Production,0.959372193
Radio and Television,0.01598021
Human Resources Law,0.051494342
Retail Management,0.013240892
Auditing,0.095417436
Social Studies Teacher Education,0.144051562
Geography and Environmental Studies,0.373121449
Nursing Education,0.013649777
Neuropharmacology,1.812931277
Painting,0.065055054
Social Entrepreneurship,0.503738506
"Electrical, Electronic, and Communications Engineering Technology/Technician",3.165066158
Nuclear Engineering,0.933277981
Research Methodology and Quantitative Methods,2.331523912
